iter	Passed	Remaining
0	17439	8074543
1	35024	8090611
2	52698	8097987
3	69762	8022728
4	87107	7996493
5	104570	7982227
6	121889	7957617
7	138958	7920610
8	156352	7904507
9	173995	7899388
10	191083	7869146
11	208384	7849151
12	225603	7826722
13	242781	7803694
14	259717	7774211
15	276581	7744286
16	293469	7716534
17	310531	7694269
18	327322	7666226
19	344144	7640017
20	361100	7617495
21	377916	7592694
22	394958	7572898
23	411719	7548191
24	428765	7529128
25	445681	7508013
26	462551	7486486
27	479384	7464704
28	496545	7448176
29	513708	7431655
30	530647	7411948
31	547799	7395293
32	564241	7369340
33	581098	7349184
34	597897	7328516
35	614580	7306682
36	631252	7284992
37	647957	7263949
38	665130	7248212
39	682076	7230015
40	699129	7212966
41	716252	7196628
42	733126	7177823
43	749964	7158755
44	766937	7141042
45	784171	7125733
46	801590	7111987
47	818052	7089785
48	835077	7072592
49	851812	7053004
50	869140	7038334
51	885875	7018860
52	902790	7000886
53	919659	6982597
54	936450	6963783
55	953490	6946855
56	970417	6929117
57	987302	6911116
58	1004056	6892254
59	1021373	6877248
60	1038187	6858846
61	1054790	6839126
62	1071738	6821703
63	1088232	6801456
64	1105117	6783718
65	1121994	6765965
66	1138990	6748942
67	1155770	6730663
68	1172276	6710857
69	1189076	6692799
70	1205716	6673893
71	1222628	6656532
72	1239275	6637761
73	1255737	6618073
74	1272572	6600407
75	1289498	6583229
76	1305986	6563853
77	1323046	6547384
78	1340015	6530453
79	1356618	6511766
80	1373892	6496306
81	1390583	6478082
82	1407351	6460250
83	1424007	6441938
84	1440844	6424469
85	1457530	6406354
86	1474234	6388348
87	1491238	6371656
88	1508011	6353980
89	1524838	6336552
90	1541695	6319257
91	1558242	6300720
92	1575273	6284153
93	1591807	6265623
94	1608558	6247979
95	1625580	6231393
96	1642543	6214573
97	1659653	6198296
98	1676722	6181854
99	1693251	6163434
100	1710270	6146813
101	1726848	6128618
102	1743785	6111714
103	1760658	6094587
104	1777385	6076966
105	1794008	6059008
106	1810838	6041770
107	1827826	6025056
108	1844687	6007927
109	1861462	5990526
110	1878038	5972501
111	1894778	5955017
112	1911478	5937424
113	1928301	5920224
114	1945212	5903296
115	1961997	5885991
116	1978758	5868624
117	1995868	5852293
118	2012561	5834736
119	2029478	5817837
120	2046547	5801369
121	2063100	5783445
122	2079807	5765969
123	2096464	5748369
124	2113264	5731173
125	2130127	5714151
126	2146881	5696842
127	2163531	5679268
128	2180209	5661783
129	2197195	5645101
130	2214031	5628035
131	2230497	5610038
132	2247321	5592959
133	2264604	5577012
134	2281654	5560476
135	2298390	5543178
136	2315210	5526086
137	2331994	5508913
138	2348750	5491683
139	2365519	5474488
140	2382427	5457617
141	2399209	5440461
142	2416423	5424279
143	2433137	5406972
144	2449821	5389606
145	2466516	5372276
146	2483389	5355337
147	2500448	5338795
148	2517257	5321718
149	2534014	5304536
150	2551038	5287915
151	2568410	5271999
152	2585539	5255573
153	2602379	5238556
154	2618842	5220788
155	2635936	5204284
156	2652677	5187083
157	2669351	5169757
158	2685968	5152330
159	2702384	5134531
160	2719604	5118261
161	2736322	5101046
162	2753154	5084046
163	2769823	5066750
164	2786135	5048815
165	2802823	5031574
166	2819504	5014329
167	2836255	4997212
168	2852942	4979989
169	2869970	4963360
170	2886959	4946661
171	2903703	4929543
172	2920129	4911894
173	2936494	4894157
174	2953292	4877151
175	2970363	4860595
176	2987106	4843500
177	3004036	4826711
178	3020713	4809515
179	3037775	4792934
180	3054356	4775595
181	3071045	4758432
182	3087952	4741610
183	3104732	4724592
184	3121919	4708191
185	3139031	4691670
186	3155643	4674402
187	3172815	4657962
188	3189659	4641038
189	3206142	4623595
190	3223049	4606767
191	3240167	4590237
192	3256816	4573042
193	3273750	4556250
194	3290536	4539253
195	3307384	4522342
196	3324172	4505350
197	3340947	4488343
198	3357562	4471125
199	3374518	4454364
200	3391194	4437234
201	3408299	4420665
202	3425082	4403677
203	3442168	4387077
204	3458864	4369980
205	3475834	4353229
206	3492787	4336456
207	3509422	4319289
208	3526736	4302955
209	3543265	4285663
210	3559744	4268318
211	3576766	4251627
212	3593376	4234448
213	3609873	4217142
214	3626500	4199994
215	3643222	4182959
216	3660241	4166266
217	3677177	4149475
218	3693668	4132186
219	3710895	4115720
220	3727754	4098842
221	3744311	4081636
222	3761007	4064586
223	3777984	4047840
224	3794962	4031093
225	3812045	4014454
226	3829304	3997996
227	3845948	3980894
228	3862973	3964186
229	3879861	3947337
230	3896616	3930353
231	3913396	3913396
232	3930522	3896784
233	3947390	3879913
234	3964159	3862947
235	3980640	3845703
236	3997379	3828713
237	4014572	3812156
238	4031533	3795376
239	4048368	3778477
240	4065224	3761597
241	4082243	3744867
242	4098714	3727637
243	4115452	3710654
244	4132354	3693819
245	4149144	3676884
246	4165908	3659927
247	4182964	3643227
248	4199692	3626240
249	4216673	3609472
250	4233330	3592428
251	4250240	3575599
252	4267092	3558721
253	4283716	3541655
254	4300709	3524895
255	4317435	3507916
256	4334542	3491246
257	4351978	3474835
258	4369287	3458316
259	4386088	3441392
260	4403049	3424594
261	4420404	3408098
262	4437614	3391484
263	4454422	3374562
264	4471140	3357573
265	4487988	3340683
266	4505177	3324044
267	4521997	3307132
268	4538648	3290098
269	4555719	3273369
270	4572707	3256577
271	4589530	3239668
272	4606482	3222850
273	4623783	3206273
274	4640758	3189466
275	4657499	3172499
276	4674499	3155709
277	4690968	3138561
278	4707890	3121719
279	4724603	3104739
280	4741514	3087889
281	4758424	3071039
282	4775226	3054120
283	4792205	3037313
284	4809159	3020489
285	4826214	3003727
286	4843054	2986831
287	4859372	2969616
