feature,importance_lgb
L4_SRC_PORT,27664
DNS_QUERY_ID,13424
SRC_TO_DST_AVG_THROUGHPUT,8641
FLOW_DURATION_MILLISECONDS,7377
IN_BYTES,7124
DST_TO_SRC_AVG_THROUGHPUT,6822
LONGEST_FLOW_PKT,6687
DNS_TTL_ANSWER,6666
SRC_TO_DST_SECOND_BYTES,5782
OUT_BYTES,5468
NUM_PKTS_UP_TO_128_BYTES,4670
L7_PROTO,4232
DST_TO_SRC_SECOND_BYTES,4149
DURATION_IN,3870
TCP_WIN_MAX_OUT,3577
L4_DST_PORT,3568
SHORTEST_FLOW_PKT,3533
DURATION_OUT,3490
IN_PKTS,2470
CLIENT_TCP_FLAGS,2014
MIN_IP_PKT_LEN,1995
OUT_PKTS,1962
TCP_FLAGS,1868
SERVER_TCP_FLAGS,1738
TCP_WIN_MAX_IN,1637
DNS_QUERY_TYPE,1158
NUM_PKTS_256_TO_512_BYTES,1156
NUM_PKTS_128_TO_256_BYTES,1064
NUM_PKTS_512_TO_1024_BYTES,740
RETRANSMITTED_OUT_BYTES,554
RETRANSMITTED_IN_BYTES,547
NUM_PKTS_1024_TO_1514_BYTES,544
ICMP_TYPE,523
MIN_TTL,281
MAX_TTL,126
MAX_IP_PKT_LEN,111
ICMP_IPV4_TYPE,89
RETRANSMITTED_OUT_PKTS,83
RETRANSMITTED_IN_PKTS,79
FTP_COMMAND_RET_CODE,52
PROTOCOL,21
