feature,importance_xgb
MAX_IP_PKT_LEN,0.15301289
TCP_WIN_MAX_IN,0.09247342
LONGEST_FLOW_PKT,0.09108388
MAX_TTL,0.08305754
FTP_COMMAND_RET_CODE,0.06558004
DNS_QUERY_TYPE,0.05325337
SRC_TO_DST_SECOND_BYTES,0.049465105
DST_TO_SRC_AVG_THROUGHPUT,0.04274474
NUM_PKTS_128_TO_256_BYTES,0.039008606
SHORTEST_FLOW_PKT,0.033933092
L4_DST_PORT,0.03069532
TCP_WIN_MAX_OUT,0.02826043
TCP_FLAGS,0.026080577
DURATION_OUT,0.023923567
MIN_IP_PKT_LEN,0.023140887
DNS_TTL_ANSWER,0.020127246
DST_TO_SRC_SECOND_BYTES,0.01872849
MIN_TTL,0.017287787
NUM_PKTS_512_TO_1024_BYTES,0.013028712
L7_PROTO,0.0106547205
CLIENT_TCP_FLAGS,0.010500575
IN_BYTES,0.008902576
OUT_BYTES,0.00845747
SRC_TO_DST_AVG_THROUGHPUT,0.0077672377
FLOW_DURATION_MILLISECONDS,0.006614419
NUM_PKTS_UP_TO_128_BYTES,0.0062707267
SERVER_TCP_FLAGS,0.005863014
IN_PKTS,0.0053748074
L4_SRC_PORT,0.0052031144
OUT_PKTS,0.0048099984
NUM_PKTS_256_TO_512_BYTES,0.0044790744
RETRANSMITTED_OUT_PKTS,0.002631787
NUM_PKTS_1024_TO_1514_BYTES,0.0022943814
DURATION_IN,0.00208344
PROTOCOL,0.001104523
RETRANSMITTED_IN_PKTS,0.0005211992
RETRANSMITTED_OUT_BYTES,0.0004507762
RETRANSMITTED_IN_BYTES,0.00031751182
ICMP_IPV4_TYPE,0.00031559588
ICMP_TYPE,0.0003127588
DNS_QUERY_ID,0.00018457201
